BABA,Alibaba Group Holding Limited,http://www.nasdaq.com/symbol/baba
Y,Alleghany Corporation,http://www.nasdaq.com/symbol/y
ATI,Allegheny Technologies Incorporated,http://www.nasdaq.com/symbol/ati
ALLE,Allegion plc,http://www.nasdaq.com/symbol/alle
AGN,Allergan plc.,http://www.nasdaq.com/symbol/agn
AGN.PRA,Allergan plc.,http://www.nasdaq.com/symbol/agn.pra
ALE,Allete  Inc.,http://www.nasdaq.com/symbol/ale
AKP,Alliance California Municipal Income Fund Inc,http://www.nasdaq.com/symbol/akp
ADS,Alliance Data Systems Corporation,http://www.nasdaq.com/symbol/ads
AFB,Alliance National Municipal Income Fund Inc,http://www.nasdaq.com/symbol/afb
AOI,Alliance One International  Inc.,http://www.nasdaq.com/symbol/aoi
AWF,Alliance World Dollar Government Fund II,http://www.nasdaq.com/symbol/awf
AB,AllianceBernstein Holding L.P.,http://www.nasdaq.com/symbol/ab
LNT,Alliant Energy Corporation,http://www.nasdaq.com/symbol/lnt
NCV,AllianzGI Convertible & Income Fund,http://www.nasdaq.com/symbol/ncv
NCZ,AllianzGI Convertible & Income Fund II,http://www.nasdaq.com/symbol/ncz
ACV,AllianzGI Diversified Income & Convertible Fund,http://www.nasdaq.com/symbol/acv
NIE,AllianzGI Equity & Convertible Income Fund,http://www.nasdaq.com/symbol/nie
NFJ,AllianzGI NFJ Dividend  Interest & Premium Strategy Fund,http://www.nasdaq.com/symbol/nfj
AWH,Allied World Assurance Company Holdings  AG,http://www.nasdaq.com/symbol/awh
ALSN,Allison Transmission Holdings  Inc.,http://www.nasdaq.com/symbol/alsn
ALL,Allstate Corporation (The),http://www.nasdaq.com/symbol/all
ALL.PRA,Allstate Corporation (The),http://www.nasdaq.com/symbol/all.pra
ALL.PRB,Allstate Corporation (The),http://www.nasdaq.com/symbol/all.prb
ALL.PRC,Allstate Corporation (The),http://www.nasdaq.com/symbol/all.prc
ALL.PRD,Allstate Corporation (The),http://www.nasdaq.com/symbol/all.prd
ALL.PRE,Allstate Corporation (The),http://www.nasdaq.com/symbol/all.pre
ALL.PRF,Allstate Corporation (The),http://www.nasdaq.com/symbol/all.prf
ALLY,Ally Financial Inc.,http://www.nasdaq.com/symbol/ally
ALJ,Alon USA Energy  Inc.,http://www.nasdaq.com/symbol/alj
ALDW,Alon USA Partners  LP,http://www.nasdaq.com/symbol/aldw
AGD,Alpine Global Dynamic Dividend Fund,http://www.nasdaq.com/symbol/agd
AWP,Alpine Global Premier Properties Fund,http://www.nasdaq.com/symbol/awp
AOD,Alpine Total Dynamic Dividend Fund,http://www.nasdaq.com/symbol/aod
RESI,Altisource Residential Corporation,http://www.nasdaq.com/symbol/resi
MO,Altria Group,http://www.nasdaq.com/symbol/mo
ACH,Aluminum Corporation of China Limited,http://www.nasdaq.com/symbol/ach
AMBR,Amber Road  Inc.,http://www.nasdaq.com/symbol/ambr
ABEV,Ambev S.A.,http://www.nasdaq.com/symbol/abev
AMC,AMC Entertainment Holdings  Inc.,http://www.nasdaq.com/symbol/amc
AMFW,Amec Plc Ord,http://www.nasdaq.com/symbol/amfw
AEE,Ameren Corporation,http://www.nasdaq.com/symbol/aee
AMRC,Ameresco  Inc.,http://www.nasdaq.com/symbol/amrc
AMX,America Movil  S.A.B. de C.V.,http://www.nasdaq.com/symbol/amx
AAT,American Assets Trust  Inc.,http://www.nasdaq.com/symbol/aat
AXL,American Axle & Manufacturing Holdings  Inc.,http://www.nasdaq.com/symbol/axl
ACC,American Campus Communities Inc,http://www.nasdaq.com/symbol/acc
AEO,American Eagle Outfitters  Inc.,http://www.nasdaq.com/symbol/aeo
AEP,American Electric Power Company  Inc.,http://www.nasdaq.com/symbol/aep
AEL,American Equity Investment Life Holding Company,http://www.nasdaq.com/symbol/ael
AXP,American Express Company,http://www.nasdaq.com/symbol/axp
AFA,American Financial Group  Inc.,http://www.nasdaq.com/symbol/afa
AFG,American Financial Group  Inc.,http://www.nasdaq.com/symbol/afg
AFGE,American Financial Group  Inc.,http://www.nasdaq.com/symbol/afge
AFGH,American Financial Group  Inc.,http://www.nasdaq.com/symbol/afgh
AFW,American Financial Group  Inc.,http://www.nasdaq.com/symbol/afw
AMH,American Homes 4 Rent,http://www.nasdaq.com/symbol/amh
AMH.PRA,American Homes 4 Rent,http://www.nasdaq.com/symbol/amh.pra
AMH.PRB,American Homes 4 Rent,http://www.nasdaq.com/symbol/amh.prb
AMH.PRC,American Homes 4 Rent,http://www.nasdaq.com/symbol/amh.prc
AMH.PRD,American Homes 4 Rent,http://www.nasdaq.com/symbol/amh.prd
AMH.PRE,American Homes 4 Rent,http://www.nasdaq.com/symbol/amh.pre
AIG,American International Group  Inc.,http://www.nasdaq.com/symbol/aig
AIG.WS,American International Group  Inc.,http://www.nasdaq.com/symbol/aig.ws
AMID,American Midstream Partners  LP,http://www.nasdaq.com/symbol/amid
ARL,American Realty Investors  Inc.,http://www.nasdaq.com/symbol/arl
ARA,American Renal Associates Holdings  Inc,http://www.nasdaq.com/symbol/ara
AWR,American States Water Company,http://www.nasdaq.com/symbol/awr
AMT,American Tower Corporation (REIT),http://www.nasdaq.com/symbol/amt
AMT.PRA,American Tower Corporation (REIT),http://www.nasdaq.com/symbol/amt.pra
AMT.PRB,American Tower Corporation (REIT),http://www.nasdaq.com/symbol/amt.prb
AVD,American Vanguard Corporation,http://www.nasdaq.com/symbol/avd
AWK,American Water Works,http://www.nasdaq.com/symbol/awk
APU,AmeriGas Partners  L.P.,http://www.nasdaq.com/symbol/apu
AMP,AMERIPRISE FINANCIAL SERVICES  INC.,http://www.nasdaq.com/symbol/amp
ABC,AmerisourceBergen Corporation (Holding Co),http://www.nasdaq.com/symbol/abc
ANFI,Amira Nature Foods Ltd,http://www.nasdaq.com/symbol/anfi
AMN,AMN Healthcare Services Inc,http://www.nasdaq.com/symbol/amn
AP,Ampco-Pittsburgh Corporation,http://www.nasdaq.com/symbol/ap
APH,Amphenol Corporation,http://www.nasdaq.com/symbol/aph
BETR,Amplify Snack Brands  inc.,http://www.nasdaq.com/symbol/betr
AXR,AMREP Corporation,http://www.nasdaq.com/symbol/axr
AME,AMTEK  Inc.,http://www.nasdaq.com/symbol/ame
AFSS,AmTrust Financial Services  Inc.,http://www.nasdaq.com/symbol/afss
AFST,AmTrust Financial Services  Inc.,http://www.nasdaq.com/symbol/afst
AEUA,Anadarko Petroleum Corporation,http://www.nasdaq.com/symbol/aeua
APC,Anadarko Petroleum Corporation,http://www.nasdaq.com/symbol/apc
AU,AngloGold Ashanti Limited,http://www.nasdaq.com/symbol/au
BUD,Anheuser-Busch Inbev SA,http://www.nasdaq.com/symbol/bud
AXE,Anixter International Inc.,http://www.nasdaq.com/symbol/axe
NLY,Annaly Capital Management Inc,http://www.nasdaq.com/symbol/nly
NLY.PRA,Annaly Capital Management Inc,http://www.nasdaq.com/symbol/nly.pra
NLY.PRC,Annaly Capital Management Inc,http://www.nasdaq.com/symbol/nly.prc
NLY.PRD,Annaly Capital Management Inc,http://www.nasdaq.com/symbol/nly.prd
NLY.PRE,Annaly Capital Management Inc,http://www.nasdaq.com/symbol/nly.pre
AM,Antero Midstream Partners LP,http://www.nasdaq.com/symbol/am
AR,Antero Resources Corporation,http://www.nasdaq.com/symbol/ar
ANTM,Anthem  Inc.,http://www.nasdaq.com/symbol/antm
ANTX,Anthem  Inc.,http://www.nasdaq.com/symbol/antx
ANH,Anworth Mortgage Asset  Corporation,http://www.nasdaq.com/symbol/anh
ANH.PRA,Anworth Mortgage Asset  Corporation,http://www.nasdaq.com/symbol/anh.pra
ANH.PRB,Anworth Mortgage Asset  Corporation,http://www.nasdaq.com/symbol/anh.prb
ANH.PRC,Anworth Mortgage Asset  Corporation,http://www.nasdaq.com/symbol/anh.prc
AON,Aon plc,http://www.nasdaq.com/symbol/aon
APA,Apache Corporation,http://www.nasdaq.com/symbol/apa
AIV,Apartment Investment and Management Company,http://www.nasdaq.com/symbol/aiv
AIV.PRA,Apartment Investment and Management Company,http://www.nasdaq.com/symbol/aiv.pra
ARI,Apollo Commercial Real Estate Finance,http://www.nasdaq.com/symbol/ari
ARI.PRA,Apollo Commercial Real Estate Finance,http://www.nasdaq.com/symbol/ari.pra
ARI.PRC,Apollo Commercial Real Estate Finance,http://www.nasdaq.com/symbol/ari.prc
APO,Apollo Global Management  LLC,http://www.nasdaq.com/symbol/apo
AIB,Apollo Investment Corporation,http://www.nasdaq.com/symbol/aib
AIY,Apollo Investment Corporation,http://www.nasdaq.com/symbol/aiy
AFT,Apollo Senior Floating Rate Fund Inc.,http://www.nasdaq.com/symbol/aft
AIF,Apollo Tactical Income Fund Inc.,http://www.nasdaq.com/symbol/aif
APLE,Apple Hospitality REIT  Inc.,http://www.nasdaq.com/symbol/aple
AIT,Applied Industrial Technologies  Inc.,http://www.nasdaq.com/symbol/ait
ATR,AptarGroup  Inc.,http://www.nasdaq.com/symbol/atr
WTR,Aqua America  Inc.,http://www.nasdaq.com/symbol/wtr
WAAS,AquaVenture Holdings Limited,http://www.nasdaq.com/symbol/waas
ARMK,Aramark,http://www.nasdaq.com/symbol/armk
ABR,Arbor Realty Trust,http://www.nasdaq.com/symbol/abr
ABR.PRA,Arbor Realty Trust,http://www.nasdaq.com/symbol/abr.pra
ABR.PRB,Arbor Realty Trust,http://www.nasdaq.com/symbol/abr.prb
ABR.PRC,Arbor Realty Trust,http://www.nasdaq.com/symbol/abr.prc
ABRN,Arbor Realty Trust,http://www.nasdaq.com/symbol/abrn
ARC,ARC Document Solutions  Inc.,http://www.nasdaq.com/symbol/arc
ARCX,Arc Logistic Partners LP,http://www.nasdaq.com/symbol/arcx
MT,ArcelorMittal,http://www.nasdaq.com/symbol/mt
ARH.PRC,Arch Capital Group Ltd.,http://www.nasdaq.com/symbol/arh.prc
ARCH,Arch Coal  Inc.,http://www.nasdaq.com/symbol/arch
ADM,Archer-Daniels-Midland Company,http://www.nasdaq.com/symbol/adm
AROC,Archrock  Inc.,http://www.nasdaq.com/symbol/aroc
ARNC,Arconic Inc.,http://www.nasdaq.com/symbol/arnc
ARCO,Arcos Dorados Holdings Inc.,http://www.nasdaq.com/symbol/arco
ASC,Ardmore Shipping Corporation,http://www.nasdaq.com/symbol/asc
AFC,Ares Capital Corporation,http://www.nasdaq.com/symbol/afc
ARU,Ares Capital Corporation,http://www.nasdaq.com/symbol/aru
ACRE,Ares Commercial Real Estate Corporation,http://www.nasdaq.com/symbol/acre
ARDC,Ares Dynamic Credit Allocation Fund  Inc.,http://www.nasdaq.com/symbol/ardc
ARES,Ares Management L.P.,http://www.nasdaq.com/symbol/ares
AGX,Argan  Inc.,http://www.nasdaq.com/symbol/agx
ANET,Arista Networks  Inc.,http://www.nasdaq.com/symbol/anet
AI,Arlington Asset Investment Corp,http://www.nasdaq.com/symbol/ai
AIC,Arlington Asset Investment Corp,http://www.nasdaq.com/symbol/aic
AIW,Arlington Asset Investment Corp,http://www.nasdaq.com/symbol/aiw
AHH,Armada Hoffler Properties  Inc.,http://www.nasdaq.com/symbol/ahh
ARR,ARMOUR Residential REIT  Inc.,http://www.nasdaq.com/symbol/arr
ARR.PRA,ARMOUR Residential REIT  Inc.,http://www.nasdaq.com/symbol/arr.pra
ARR.PRB,ARMOUR Residential REIT  Inc.,http://www.nasdaq.com/symbol/arr.prb
AFI,Armstrong Flooring  Inc.,http://www.nasdaq.com/symbol/afi
AWI,Armstrong World Industries Inc,http://www.nasdaq.com/symbol/awi
ARW,Arrow Electronics  Inc.,http://www.nasdaq.com/symbol/arw
AJG,Arthur J. Gallagher & Co.,http://www.nasdaq.com/symbol/ajg
APAM,Artisan Partners Asset Management Inc.,http://www.nasdaq.com/symbol/apam
ASA,ASA Gold and Precious Metals Limited,http://www.nasdaq.com/symbol/asa
ABG,Asbury Automotive Group Inc,http://www.nasdaq.com/symbol/abg
AHP,Ashford Hospitality Prime  Inc.,http://www.nasdaq.com/symbol/ahp
AHP.PRB,Ashford Hospitality Prime  Inc.,http://www.nasdaq.com/symbol/ahp.prb
AHT,Ashford Hospitality Trust Inc,http://www.nasdaq.com/symbol/aht
AHT.PRA,Ashford Hospitality Trust Inc,http://www.nasdaq.com/symbol/aht.pra
AHT.PRD,Ashford Hospitality Trust Inc,http://www.nasdaq.com/symbol/aht.prd
AHT.PRF,Ashford Hospitality Trust Inc,http://www.nasdaq.com/symbol/aht.prf
AHT.PRG,Ashford Hospitality Trust Inc,http://www.nasdaq.com/symbol/aht.prg
ASH,Ashland Global Holdings Inc.,http://www.nasdaq.com/symbol/ash
APB,Asia Pacific Fund  Inc. (The),http://www.nasdaq.com/symbol/apb
GRR,Asia Tigers Fund  Inc. (The),http://www.nasdaq.com/symbol/grr
ASPN,Aspen Aerogels  Inc.,http://www.nasdaq.com/symbol/aspn
AHL,Aspen Insurance Holdings Limited,http://www.nasdaq.com/symbol/ahl
AHL.PRB,Aspen Insurance Holdings Limited,http://www.nasdaq.com/symbol/ahl.prb
AHL.PRC,Aspen Insurance Holdings Limited,http://www.nasdaq.com/symbol/ahl.prc
AHL.PRD,Aspen Insurance Holdings Limited,http://www.nasdaq.com/symbol/ahl.prd
ASB,Associated Banc-Corp,http://www.nasdaq.com/symbol/asb
ASB.PRC,Associated Banc-Corp,http://www.nasdaq.com/symbol/asb.prc
ASB.PRD,Associated Banc-Corp,http://www.nasdaq.com/symbol/asb.prd
AC,Associated Capital Group  Inc.,http://www.nasdaq.com/symbol/ac
AIZ,Assurant  Inc.,http://www.nasdaq.com/symbol/aiz
AGO,Assured Guaranty Ltd.,http://www.nasdaq.com/symbol/ago
AGO.PRB,Assured Guaranty Ltd.,http://www.nasdaq.com/symbol/ago.prb
AGO.PRE,Assured Guaranty Ltd.,http://www.nasdaq.com/symbol/ago.pre
AGO.PRF,Assured Guaranty Ltd.,http://www.nasdaq.com/symbol/ago.prf
AF,Astoria Financial Corporation,http://www.nasdaq.com/symbol/af
AF.PRC,Astoria Financial Corporation,http://www.nasdaq.com/symbol/af.prc
AZN,Astrazeneca PLC,http://www.nasdaq.com/symbol/azn
HOME,At Home Group Inc.,http://www.nasdaq.com/symbol/home
T,AT&T Inc.,http://www.nasdaq.com/symbol/t
ATTO,Atento S.A.,http://www.nasdaq.com/symbol/atto
ATKR,Atkore International Group Inc.,http://www.nasdaq.com/symbol/atkr
AT,Atlantic Power Corporation,http://www.nasdaq.com/symbol/at
ATO,Atmos Energy Corporation,http://www.nasdaq.com/symbol/ato
ATW,Atwood Oceanics  Inc.,http://www.nasdaq.com/symbol/atw
AUO,AU Optronics Corp,http://www.nasdaq.com/symbol/auo
ATHM,Autohome Inc.,http://www.nasdaq.com/symbol/athm
ALV,Autoliv  Inc.,http://www.nasdaq.com/symbol/alv
